agent,step,fitness,state,truth,constraint,correction,coherence,survivability
rigid_continuity,72,0.536961,0.937306,0.955728,0.955664,0.954852,0.944216,0.807864
rigid_continuity,73,0.543527,0.945246,0.963166,0.963104,0.96224,0.951957,0.81502
rigid_continuity,74,0.545836,0.94868,0.9661,0.96604,0.965138,0.955195,0.817761
rigid_continuity,75,0.554722,0.958583,0.975513,0.975455,0.974522,0.964906,0.827015
rigid_continuity,76,0.550195,0.95476,0.9712,0.971144,0.970198,0.960895,0.822656
rigid_continuity,77,0.552697,0.958088,0.97406,0.974006,0.973039,0.964041,0.825417
rigid_continuity,78,0.560804,0.966915,0.98243,0.982377,0.981395,0.972691,0.833721
rigid_continuity,79,0.557692,0.964245,0.979302,0.979251,0.978269,0.969847,0.830628
rigid_continuity,80,0.563774,0.970853,0.985471,0.985422,0.984435,0.976286,0.836793
rigid_continuity,81,0.556431,0.963828,0.978011,0.977964,0.976982,0.969096,0.829403
rigid_continuity,82,0.552674,0.960611,0.974386,0.97434,0.973351,0.965722,0.825756
rigid_continuity,83,0.548693,0.95727,0.970656,0.970612,0.969609,0.962231,0.821961
rigid_continuity,84,0.534943,0.944266,0.957282,0.957239,0.956216,0.949082,0.808475
rigid_continuity,85,0.541387,0.951866,0.964546,0.964505,0.963439,0.956547,0.815466
rigid_continuity,86,0.536354,0.947749,0.960092,0.960052,0.958958,0.952297,0.810826
rigid_continuity,87,0.537104,0.949545,0.961569,0.96153,0.960401,0.953965,0.812063
rigid_continuity,88,0.543473,0.956903,0.968616,0.968578,0.967417,0.961199,0.818887
rigid_continuity,89,0.549431,0.963619,0.975018,0.974981,0.973802,0.967792,0.82515
rigid_continuity,90,0.558016,0.97275,0.983833,0.983798,0.982612,0.976801,0.833904
rigid_continuity,91,0.557434,0.972426,0.983189,0.983155,0.981978,0.976356,0.833303
rigid_continuity,92,0.552954,0.968215,0.978668,0.978635,0.977466,0.972028,0.828817
rigid_continuity,93,0.552598,0.96826,0.978421,0.978389,0.977219,0.97196,0.82855
rigid_continuity,94,0.53295,0.949012,0.95889,0.95886,0.957689,0.952604,0.808996
rigid_continuity,95,0.516184,0.933252,0.942892,0.942862,0.941656,0.936747,0.792738
rigid_continuity,96,0.500912,0.919483,0.928918,0.92889,0.927622,0.922888,0.778313
rigid_continuity,97,0.489545,0.910052,0.919315,0.919287,0.917934,0.913376,0.768089
rigid_continuity,98,0.494942,0.917683,0.926795,0.926768,0.925317,0.920931,0.774833
rigid_continuity,99,0.484676,0.90941,0.918363,0.918337,0.916804,0.912582,0.765756
rigid_continuity,100,0.480739,0.907725,0.91654,0.916515,0.914886,0.910825,0.763185
rigid_continuity,101,0.496929,0.926223,0.934905,0.934881,0.933158,0.929253,0.780782
rigid_continuity,102,0.493254,0.924272,0.932795,0.932771,0.930989,0.927228,0.778123
rigid_continuity,103,0.502704,0.935507,0.943879,0.943857,0.942013,0.938393,0.788635
rigid_continuity,104,0.492101,0.926335,0.934542,0.93452,0.932636,0.929148,0.778858
rigid_continuity,105,0.490236,0.926191,0.934253,0.934232,0.932292,0.928935,0.778017
rigid_continuity,106,0.479435,0.917115,0.925039,0.925019,0.923025,0.919794,0.768247
rigid_continuity,107,0.475967,0.915658,0.923463,0.923443,0.921381,0.918274,0.766004
rigid_continuity,108,0.486651,0.928398,0.936092,0.936073,0.933942,0.930955,0.777947
rigid_continuity,109,0.466523,0.909926,0.917489,0.91747,0.915295,0.912421,0.758811
rigid_continuity,110,0.472336,0.917976,0.925445,0.925428,0.923176,0.920416,0.76601
rigid_continuity,111,0.475789,0.923413,0.930777,0.93076,0.928449,0.925797,0.77068
rigid_continuity,112,0.469259,0.918696,0.925949,0.925932,0.923573,0.921023,0.765255
rigid_continuity,113,0.452506,0.903904,0.911058,0.911042,0.908627,0.906178,0.749709
rigid_continuity,114,0.453972,0.907797,0.914881,0.914866,0.912371,0.910022,0.752697
rigid_continuity,115,0.448218,0.904347,0.911358,0.911343,0.908778,0.906524,0.748385
rigid_continuity,116,0.45161,0.910152,0.917097,0.917083,0.914443,0.912283,0.753294
rigid_continuity,117,0.452472,0.913245,0.920116,0.920102,0.917401,0.915329,0.755552
rigid_continuity,118,0.472294,0.935199,0.941993,0.94198,0.939224,0.937236,0.776705
rigid_continuity,119,0.470021,0.934368,0.94105,0.941037,0.938266,0.936355,0.7753
rigid_continuity,120,0.458339,0.924153,0.930728,0.930715,0.927929,0.926091,0.764506
rigid_continuity,121,0.461091,0.928694,0.935183,0.93517,0.93235,0.930586,0.768363
rigid_continuity,122,0.464331,0.93358,0.939978,0.939966,0.937121,0.935427,0.772615
rigid_continuity,123,0.481241,0.951982,0.958284,0.958272,0.955412,0.953785,0.790436
rigid_continuity,124,0.491862,0.963516,0.969692,0.969681,0.966838,0.965271,0.801579
rigid_continuity,125,0.496745,0.968948,0.974982,0.974972,0.972165,0.970654,0.806741
rigid_continuity,126,0.514904,0.987486,0.993374,0.993363,0.990601,0.989143,0.825068
rigid_continuity,127,0.501239,0.973615,0.979329,0.979319,0.976632,0.975221,0.81118
rigid_continuity,128,0.494162,0.966769,0.972339,0.972329,0.969691,0.968329,0.804177
rigid_continuity,129,0.483643,0.956697,0.96214,0.962131,0.959527,0.958214,0.79388
rigid_continuity,130,0.514565,0.926265,0.957851,0.957745,0.954768,0.937874,0.80022
rigid_continuity,131,0.498645,0.912067,0.942732,0.94263,0.939673,0.923327,0.784882
rigid_continuity,132,0.506867,0.922459,0.952258,0.952159,0.949195,0.933386,0.794005
rigid_continuity,133,0.5048,0.922235,0.951179,0.951083,0.948129,0.932837,0.792636
rigid_continuity,134,0.487751,0.907035,0.935153,0.93506,0.932113,0.917321,0.776304
rigid_continuity,135,0.476164,0.897776,0.925122,0.925033,0.922065,0.907764,0.765774
rigid_continuity,136,0.480526,0.904759,0.931374,0.931287,0.928282,0.91446,0.771405
rigid_continuity,137,0.491183,0.917816,0.943713,0.94363,0.940598,0.927238,0.783196
rigid_continuity,138,0.515744,0.944366,0.969545,0.969465,0.96643,0.953512,0.808628
rigid_continuity,139,0.551311,0.981085,1.0,1.0,1.0,0.988309,0.84179
rigid_continuity,140,0.556883,0.986653,1.0,1.0,1.0,0.991751,0.844084
rigid_continuity,141,0.545609,0.975199,0.988126,0.988126,0.988126,0.980136,0.832446
rigid_continuity,142,0.520624,0.950396,0.962936,0.962936,0.962915,0.955183,0.807348
rigid_continuity,143,0.524437,0.955171,0.967381,0.967381,0.967296,0.959823,0.811582
rigid_continuity,144,0.515282,0.946828,0.95871,0.95871,0.958571,0.951348,0.802753
rigid_continuity,145,0.510897,0.943518,0.955099,0.955099,0.954891,0.947914,0.798879
rigid_continuity,146,0.504152,0.937952,0.949246,0.949246,0.948967,0.942229,0.79272
rigid_continuity,147,0.503063,0.938217,0.949245,0.949245,0.948885,0.942381,0.792341
rigid_continuity,148,0.516455,0.952955,0.963724,0.963724,0.963287,0.95701,0.806443
rigid_continuity,149,0.518939,0.956322,0.966815,0.966815,0.966328,0.960264,0.80933
rigid_continuity,150,0.517635,0.955794,0.966014,0.966014,0.965485,0.959626,0.808364
rigid_continuity,151,0.505808,0.944759,0.954717,0.954717,0.954145,0.948484,0.796889
rigid_continuity,152,0.486311,0.926403,0.936126,0.936126,0.935493,0.930029,0.777986
rigid_continuity,153,0.481076,0.922885,0.932414,0.932414,0.931689,0.926423,0.773738
rigid_continuity,154,0.48103,0.924669,0.934016,0.934016,0.933195,0.928122,0.774759
rigid_continuity,155,0.502845,0.948257,0.957425,0.957425,0.956515,0.951628,0.797606
rigid_continuity,156,0.505009,0.95145,0.960404,0.960404,0.959448,0.954731,0.800305
rigid_continuity,157,0.517402,0.964772,0.973514,0.973514,0.972518,0.967965,0.81317
rigid_continuity,158,0.51201,0.959891,0.968403,0.968403,0.967392,0.962993,0.807973
rigid_continuity,159,0.498391,0.946935,0.955234,0.955234,0.9542,0.949951,0.794655
rigid_continuity,160,0.487409,0.937025,0.945141,0.945141,0.944062,0.939963,0.784255
rigid_continuity,161,0.479307,0.930306,0.938262,0.938262,0.937121,0.933171,0.776948
rigid_continuity,162,0.505448,0.958043,0.965857,0.965857,0.964643,0.96084,0.80403
rigid_continuity,163,0.496192,0.949508,0.957135,0.957135,0.9559,0.95223,0.795129
rigid_continuity,164,0.506854,0.96116,0.968623,0.968623,0.967351,0.963811,0.806332
rigid_continuity,165,0.496618,0.951549,0.958831,0.958831,0.957545,0.954127,0.796393
rigid_continuity,166,0.508397,0.964254,0.971378,0.971378,0.970061,0.966765,0.808676
rigid_continuity,167,0.513617,0.969999,0.97695,0.97695,0.975623,0.972441,0.814133
rigid_continuity,168,0.512337,0.969064,0.975836,0.975836,0.974512,0.971437,0.812973
rigid_continuity,169,0.512448,0.96955,0.976151,0.976151,0.974825,0.971856,0.813226
rigid_continuity,170,0.50519,0.962652,0.969086,0.969086,0.967761,0.964893,0.806105
rigid_continuity,171,0.511143,0.969181,0.975467,0.975467,0.974129,0.971362,0.812342
rigid_continuity,172,0.506284,0.964692,0.970823,0.970823,0.969484,0.966812,0.807632
rigid_continuity,173,0.492176,0.951097,0.957086,0.957086,0.955738,0.95316,0.793773
rigid_continuity,174,0.477441,0.937302,0.943177,0.943177,0.941797,0.939314,0.779576
rigid_continuity,175,0.480112,0.941348,0.947138,0.947138,0.945702,0.943314,0.783081
rigid_continuity,176,0.499661,0.962145,0.967845,0.967845,0.966361,0.964065,0.80338
rigid_continuity,177,0.502181,0.965257,0.970834,0.970834,0.969341,0.967126,0.806211
rigid_continuity,178,0.501357,0.964928,0.97038,0.97038,0.968883,0.966747,0.805634
rigid_continuity,179,0.505387,0.969462,0.974794,0.974794,0.973293,0.971233,0.809921
rigid_continuity,180,0.521659,0.986096,0.991305,0.991305,0.989806,0.987819,0.826355
rigid_continuity,181,0.524892,0.989167,0.994226,0.994226,0.99276,0.990837,0.8294
rigid_continuity,182,0.520561,0.984577,0.989487,0.989487,0.988057,0.986197,0.824819
rigid_continuity,183,0.534436,0.998338,1.0,1.0,1.0,0.998973,0.83695
rigid_continuity,184,0.540181,1.0,1.0,1.0,1.0,1.0,0.839063
rigid_continuity,185,0.55921,1.0,1.0,1.0,1.0,1.0,0.845724
rigid_continuity,186,0.562009,1.0,1.0,1.0,1.0,1.0,0.846703
rigid_continuity,187,0.547916,0.985306,0.985306,0.985306,0.985306,0.985306,0.83222
rigid_continuity,188,0.532098,0.969351,0.969377,0.969377,0.969351,0.969353,0.816323
rigid_continuity,189,0.552509,0.990128,0.990206,0.990206,0.990128,0.990134,0.836993
rigid_continuity,190,0.573793,1.0,1.0,1.0,1.0,1.0,0.850827
rigid_continuity,191,0.572239,0.997846,0.997846,0.997846,0.997846,0.997846,0.848883
rigid_continuity,192,0.56824,0.993315,0.993319,0.993319,0.993315,0.993316,0.844541
rigid_continuity,193,0.586378,1.0,1.0,1.0,1.0,1.0,0.855232
rigid_continuity,194,0.573693,0.986715,0.986715,0.986715,0.986715,0.986715,0.842158
rigid_continuity,195,0.563556,0.976397,0.97642,0.97642,0.976397,0.976399,0.831912
rigid_continuity,196,0.571876,0.984861,0.984924,0.984924,0.984861,0.984865,0.840342
rigid_continuity,197,0.567741,0.980602,0.98069,0.98069,0.980602,0.980609,0.836137
rigid_continuity,198,0.56828,0.981152,0.981271,0.981271,0.981152,0.981161,0.836695
rigid_continuity,199,0.566918,0.979784,0.979932,0.979932,0.979784,0.979795,0.835342
rigid_continuity,200,0.606569,0.957354,0.98378,0.983684,0.983116,0.967348,0.849994
rigid_continuity,201,0.624059,0.975587,1.0,1.0,1.0,0.984911,0.866912
rigid_continuity,202,0.625746,0.977443,1.0,1.0,1.0,0.986058,0.867617
rigid_continuity,203,0.634073,0.985881,1.0,1.0,1.0,0.991274,0.871053
rigid_continuity,204,0.610071,0.961724,0.975398,0.975398,0.975398,0.966946,0.846688
rigid_continuity,205,0.610087,0.962345,0.975631,0.975631,0.975588,0.967414,0.846862
rigid_continuity,206,0.600568,0.953412,0.966323,0.966323,0.966238,0.958332,0.837497
rigid_continuity,207,0.586542,0.940254,0.952817,0.952817,0.952676,0.945034,0.823821
rigid_continuity,208,0.576604,0.931598,0.943848,0.943848,0.943629,0.936248,0.81452
rigid_continuity,209,0.573195,0.929743,0.941705,0.941705,0.941395,0.934271,0.811937
rigid_continuity,210,0.584786,0.942947,0.954635,0.954635,0.954232,0.947357,0.824399
rigid_continuity,211,0.569469,0.928828,0.940226,0.940226,0.939757,0.933118,0.80968
rigid_continuity,212,0.570436,0.931437,0.942581,0.942581,0.942022,0.935618,0.81155
rigid_continuity,213,0.565226,0.927787,0.93868,0.93868,0.938039,0.931859,0.807193
rigid_continuity,214,0.561894,0.926129,0.936787,0.936787,0.936058,0.930099,0.804797
rigid_continuity,215,0.574527,0.940489,0.950922,0.950922,0.950106,0.944359,0.818405
rigid_continuity,216,0.581585,0.948821,0.959011,0.959011,0.958135,0.952589,0.826138
rigid_continuity,217,0.598234,0.966482,0.976423,0.976423,0.975502,0.970147,0.843291
rigid_continuity,218,0.596979,0.965684,0.975353,0.975353,0.97442,0.969243,0.842171
rigid_continuity,219,0.589228,0.958414,0.967821,0.967821,0.966874,0.96187,0.834576
rigid_continuity,220,0.587142,0.957037,0.966205,0.966205,0.965231,0.960397,0.832806
rigid_continuity,221,0.590652,0.961301,0.970238,0.970238,0.969237,0.964568,0.836666
rigid_continuity,222,0.593371,0.964639,0.973347,0.973347,0.972325,0.967814,0.839649
rigid_continuity,223,0.580958,0.95274,0.96122,0.96122,0.960184,0.955825,0.827434
rigid_continuity,224,0.582644,0.955314,0.963596,0.963596,0.962524,0.958317,0.829574
rigid_continuity,225,0.585983,0.959461,0.967545,0.967545,0.966443,0.962382,0.833317
rigid_continuity,226,0.616792,0.990947,0.998834,0.998834,0.99771,0.993789,0.864446
rigid_continuity,227,0.639914,1.0,1.0,1.0,1.0,1.0,0.87397
rigid_continuity,228,0.630276,0.989761,0.989761,0.989761,0.989761,0.989761,0.863941
rigid_continuity,229,0.627427,0.986635,0.986653,0.986653,0.986635,0.986636,0.860919
rigid_continuity,230,0.610466,0.969495,0.969535,0.969535,0.969495,0.969498,0.843851
rigid_continuity,231,0.603977,0.963367,0.96346,0.96346,0.963367,0.963374,0.837618
rigid_continuity,232,0.608364,0.968308,0.968462,0.968462,0.968308,0.96832,0.842391
rigid_continuity,233,0.623435,0.983777,0.983981,0.983981,0.983777,0.983792,0.85774
rigid_continuity,234,0.615286,0.975539,0.975765,0.975765,0.975539,0.975556,0.849542
rigid_continuity,235,0.608036,0.96846,0.968721,0.968721,0.96846,0.968479,0.842418
rigid_continuity,236,0.582868,0.943686,0.943993,0.943993,0.943686,0.943709,0.817525
rigid_continuity,237,0.581516,0.943508,0.943903,0.943903,0.943508,0.943537,0.816972
rigid_continuity,238,0.569367,0.932538,0.93302,0.93302,0.932538,0.932574,0.805625
rigid_continuity,239,0.563614,0.92831,0.928894,0.928894,0.92831,0.928354,0.800904
rigid_continuity,240,0.553692,0.920046,0.920735,0.920735,0.920046,0.920098,0.792103
rigid_continuity,241,0.553161,0.921433,0.92224,0.92224,0.921433,0.921494,0.792867
rigid_continuity,242,0.532668,0.902815,0.903733,0.903733,0.902815,0.902884,0.773638
rigid_continuity,243,0.515663,0.888272,0.889329,0.889329,0.888272,0.888351,0.75829
rigid_continuity,244,0.541814,0.917343,0.91856,0.91856,0.917343,0.917434,0.786404
rigid_continuity,245,0.526965,0.904497,0.905819,0.905819,0.904497,0.904596,0.7729
rigid_continuity,246,0.514404,0.894344,0.895789,0.895789,0.894344,0.894452,0.761954
rigid_continuity,247,0.537047,0.919715,0.921297,0.921297,0.919715,0.919834,0.786426
rigid_continuity,248,0.572508,0.957105,0.958774,0.958774,0.957105,0.95723,0.823176
rigid_continuity,249,0.559049,0.944397,0.946086,0.946086,0.944397,0.944524,0.810214
rigid_continuity,250,0.55523,0.94173,0.94346,0.94346,0.94173,0.94186,0.80716
rigid_continuity,251,0.559929,0.947664,0.949439,0.949439,0.947664,0.947797,0.81268
rigid_continuity,252,0.581273,0.970057,0.971864,0.971864,0.970057,0.970193,0.834719
rigid_continuity,253,0.570031,0.959158,0.960957,0.960957,0.959158,0.959293,0.823697
rigid_continuity,254,0.567687,0.957501,0.959312,0.959312,0.957501,0.957637,0.821804
rigid_continuity,255,0.577615,0.968168,0.969993,0.969993,0.968168,0.968305,0.832218
rigid_continuity,256,0.583433,0.974388,0.976208,0.976208,0.974388,0.974524,0.838295
rigid_continuity,257,0.579519,0.970681,0.972485,0.972485,0.970681,0.970816,0.834509
rigid_continuity,258,0.578513,0.969998,0.971794,0.971794,0.969998,0.970133,0.83371
rigid_continuity,259,0.562614,0.954445,0.956233,0.956233,0.954445,0.954579,0.818033
reckless_discontinuity,0,0.452842,0.997142,0.997142,0.997142,0.997142,0.997142,0.806637
reckless_discontinuity,1,0.455345,0.993965,0.99397,0.99397,0.993965,0.993966,0.80545
reckless_discontinuity,2,0.463831,0.996794,0.996809,0.996809,0.996794,0.996795,0.810263
reckless_discontinuity,3,0.462867,0.990152,0.990173,0.990173,0.990152,0.990154,0.805611
reckless_discontinuity,4,0.474226,0.995879,0.995918,0.995918,0.995879,0.995882,0.813316
reckless_discontinuity,5,0.492078,1.0,1.0,1.0,1.0,1.0,0.822227
reckless_discontinuity,6,0.499644,1.0,1.0,1.0,1.0,1.0,0.824875
reckless_discontinuity,7,0.509565,1.0,1.0,1.0,1.0,1.0,0.828348
reckless_discontinuity,8,0.515903,1.0,1.0,1.0,1.0,1.0,0.830566
reckless_discontinuity,9,0.521604,1.0,1.0,1.0,1.0,1.0,0.832561
reckless_discontinuity,10,0.518645,0.991341,0.991341,0.991341,0.991341,0.991341,0.825898
reckless_discontinuity,11,0.528143,0.9952,0.995215,0.995215,0.9952,0.995201,0.831736
reckless_discontinuity,12,0.532675,0.994066,0.994089,0.994089,0.994066,0.994068,0.832589
reckless_discontinuity,13,0.563493,1.0,1.0,1.0,1.0,1.0,0.847223
reckless_discontinuity,14,0.588074,1.0,1.0,1.0,1.0,1.0,0.855826
reckless_discontinuity,15,0.598404,1.0,1.0,1.0,1.0,1.0,0.859441
reckless_discontinuity,16,0.594947,0.990843,0.990843,0.990843,0.990843,0.990843,0.85228
reckless_discontinuity,17,0.587298,0.977558,0.977574,0.977574,0.977558,0.97756,0.840974
reckless_discontinuity,18,0.607292,0.992009,0.992064,0.992064,0.992009,0.992013,0.857381
reckless_discontinuity,19,0.616145,0.995218,0.995287,0.995287,0.995218,0.995223,0.862571
reckless_discontinuity,20,0.627607,1.0,1.0,1.0,1.0,1.0,0.869662
reckless_discontinuity,21,0.612372,0.979065,0.979065,0.979065,0.979065,0.979065,0.850722
reckless_discontinuity,22,0.629201,0.990341,0.990377,0.990377,0.990341,0.990344,0.863957
reckless_discontinuity,23,0.640354,0.995861,0.995915,0.995915,0.995861,0.995865,0.871455
reckless_discontinuity,24,0.632729,0.982565,0.982625,0.982625,0.982565,0.98257,0.860147
reckless_discontinuity,25,0.63277,0.977029,0.977119,0.977119,0.977029,0.977036,0.856575
reckless_discontinuity,26,0.641635,0.980354,0.980484,0.980484,0.980354,0.980364,0.861855
reckless_discontinuity,27,0.647965,0.981122,0.981284,0.981284,0.981122,0.981134,0.864583
reckless_discontinuity,28,0.650159,0.977748,0.977942,0.977942,0.977748,0.977762,0.863171
reckless_discontinuity,29,0.654617,0.976662,0.976893,0.976893,0.976662,0.976679,0.86404
reckless_discontinuity,30,0.657293,0.973801,0.974071,0.974071,0.973801,0.973821,0.863133
reckless_discontinuity,31,0.664824,0.975815,0.976129,0.976129,0.975815,0.975839,0.867096
reckless_discontinuity,32,0.688182,0.993642,0.993996,0.993996,0.993642,0.993669,0.886875
reckless_discontinuity,33,0.663082,0.962887,0.963248,0.963248,0.962887,0.962914,0.858102
reckless_discontinuity,34,0.665939,0.960305,0.960728,0.960728,0.960305,0.960336,0.857449
reckless_discontinuity,35,0.673758,0.962701,0.96319,0.96319,0.962701,0.962737,0.86177
reckless_discontinuity,36,0.68301,0.966514,0.967064,0.967064,0.966514,0.966555,0.867511
reckless_discontinuity,37,0.684247,0.962285,0.962889,0.962889,0.962285,0.96233,0.865218
reckless_discontinuity,38,0.668866,0.941468,0.942133,0.942133,0.941468,0.941518,0.846328
reckless_discontinuity,39,0.678502,0.945814,0.946575,0.946575,0.945814,0.945871,0.852565
reckless_discontinuity,40,0.70493,0.966922,0.967771,0.967771,0.966922,0.966985,0.875571
reckless_discontinuity,41,0.692224,0.948747,0.949647,0.949647,0.948747,0.948814,0.85933
reckless_discontinuity,42,0.70829,0.959472,0.960453,0.960453,0.959472,0.959545,0.871958
reckless_discontinuity,43,0.710047,0.955813,0.956857,0.956857,0.955813,0.955891,0.87022
reckless_discontinuity,44,0.715011,0.955386,0.956498,0.956498,0.955386,0.95547,0.871708
reckless_discontinuity,45,0.708077,0.943064,0.944244,0.944244,0.943064,0.943152,0.861299
reckless_discontinuity,46,0.709763,0.939449,0.940719,0.940719,0.939449,0.939544,0.859576
reckless_discontinuity,47,0.731064,0.955473,0.956838,0.956838,0.955473,0.955576,0.877486
reckless_discontinuity,48,0.743756,0.962777,0.964207,0.964207,0.962777,0.962884,0.886702
reckless_discontinuity,49,0.770243,0.983825,0.985308,0.985308,0.983825,0.983936,0.909676
reckless_discontinuity,50,0.790072,0.998067,0.999566,0.999566,0.998067,0.99818,0.92588
