system,step,escape,basin,truth,constraint,coherence,option_density,civilization_access,discoveries,survivability
power_maximizer,38,0.95,0.444382,0.979949,0.988722,0.978194,0.5,0.5,0,0.729974
power_maximizer,39,0.95,0.456044,0.977194,0.981748,0.976283,0.5,0.5,0,0.730389
power_maximizer,40,0.95,0.454042,0.990238,0.977039,0.974399,0.5,0.5,0,0.731281
power_maximizer,41,0.95,0.450619,0.995945,0.979624,0.97636,0.5,0.5,0,0.732351
power_maximizer,42,0.95,0.454092,0.992065,0.982545,0.980641,0.5,0.5,0,0.7335
power_maximizer,43,0.95,0.448088,0.984493,0.98379,0.98365,0.5,0.5,0,0.731616
power_maximizer,44,0.95,0.453167,0.983967,0.985699,0.98362,0.5,0.5,0,0.732839
power_maximizer,45,0.95,0.458723,0.981694,0.992509,0.979531,0.5,0.5,0,0.733976
power_maximizer,46,0.95,0.474809,0.983013,0.985252,0.982565,0.5,0.5,0,0.736755
power_maximizer,47,0.95,0.491816,0.993559,0.984352,0.98251,0.5,0.5,0,0.741902
power_maximizer,48,0.95,0.507308,0.986994,0.979171,0.977607,0.5,0.5,0,0.742205
power_maximizer,49,0.95,0.507951,0.987119,0.97844,0.976705,0.5,0.5,0,0.742095
power_maximizer,50,0.95,0.523011,0.987817,0.982563,0.981512,0.5,0.5,0,0.746661
power_maximizer,51,0.95,0.526421,0.982904,0.975459,0.97397,0.5,0.5,0,0.744116
power_maximizer,52,0.95,0.527548,0.988604,0.967795,0.963634,0.5,0.5,0,0.742487
power_maximizer,53,0.95,0.527475,0.986775,0.974198,0.971683,0.5,0.5,0,0.744455
power_maximizer,54,0.95,0.541974,0.986007,0.970332,0.967197,0.5,0.5,0,0.745881
power_maximizer,55,0.95,0.547714,0.987234,0.964182,0.959572,0.5,0.5,0,0.745045
power_maximizer,56,0.95,0.553339,1.0,0.975873,0.971047,0.5,0.5,0,0.752175
power_maximizer,57,0.95,0.55484,0.991219,0.972618,0.968898,0.5,0.5,0,0.75003
power_maximizer,58,0.95,0.568287,0.98695,0.969022,0.965436,0.5,0.5,0,0.750822
power_maximizer,59,0.95,0.570786,0.980732,0.966217,0.963314,0.5,0.5,0,0.749414
power_maximizer,60,0.95,0.583577,0.980398,0.956076,0.951212,0.5,0.5,0,0.748353
power_maximizer,61,0.95,0.604411,0.972909,0.950022,0.945445,0.5,0.5,0,0.749281
power_maximizer,62,0.95,0.631451,0.966204,0.948413,0.944854,0.5,0.5,0,0.75313
power_maximizer,63,0.95,0.649081,0.960689,0.94756,0.944934,0.5,0.5,0,0.755539
power_maximizer,64,0.95,0.656359,0.958904,0.947386,0.945083,0.5,0.5,0,0.75667
power_maximizer,65,0.95,0.658254,0.957798,0.949411,0.947733,0.5,0.5,0,0.757597
power_maximizer,66,0.95,0.665826,0.964381,0.95095,0.948264,0.5,0.5,0,0.760628
power_maximizer,67,0.95,0.670051,0.964809,0.94721,0.94369,0.5,0.5,0,0.76022
power_maximizer,68,0.95,0.673073,0.97779,0.957283,0.953182,0.5,0.5,0,0.766291
power_maximizer,69,0.95,0.670768,0.971382,0.964943,0.963655,0.5,0.5,0,0.767578
power_maximizer,70,0.95,0.67841,0.961258,0.970928,0.959324,0.5,0.5,0,0.767549
power_maximizer,71,0.95,0.673326,0.958894,0.972859,0.956101,0.5,0.5,0,0.7659
power_maximizer,72,0.95,0.674789,0.958766,0.971673,0.956185,0.5,0.5,0,0.765993
power_maximizer,73,0.95,0.690361,0.943861,0.970592,0.938515,0.5,0.5,0,0.763424
power_maximizer,74,0.95,0.696529,0.942303,0.960404,0.938683,0.5,0.5,0,0.762774
power_maximizer,75,0.95,0.714147,0.933793,0.966062,0.927339,0.5,0.5,0,0.763856
power_maximizer,76,0.95,0.717457,0.92827,0.964463,0.921031,0.5,0.5,0,0.762259
power_maximizer,77,0.95,0.725918,0.939524,0.971954,0.933038,0.5,0.5,0,0.769097
power_maximizer,78,0.95,0.74367,0.942884,0.977258,0.936009,0.5,0.5,0,0.774576
power_maximizer,79,0.95,0.748002,0.939385,0.983469,0.930568,0.5,0.5,0,0.774936
power_maximizer,80,0.95,0.758061,0.938968,0.990695,0.928623,0.5,0.5,0,0.777717
power_maximizer,81,0.95,0.776426,0.944085,0.981374,0.936628,0.5,0.5,0,0.782101
power_maximizer,82,0.95,0.77085,0.941647,0.990665,0.931843,0.5,0.5,0,0.781268
power_maximizer,83,0.95,0.769058,0.936265,0.990974,0.925323,0.5,0.5,0,0.778947
power_maximizer,84,0.95,0.767489,0.938901,0.998014,0.927079,0.5,0.5,0,0.780515
power_maximizer,85,0.95,0.752959,0.941461,0.99847,0.930059,0.5,0.5,0,0.778619
power_maximizer,86,0.95,0.769689,0.929784,0.994942,0.916752,0.5,0.5,0,0.77717
power_maximizer,87,0.95,0.760836,0.939482,0.997212,0.927936,0.5,0.5,0,0.779298
power_maximizer,88,0.95,0.760068,0.945091,1.0,0.934109,0.5,0.5,0,0.781588
power_maximizer,89,0.95,0.765744,0.947372,0.99482,0.937882,0.5,0.5,0,0.782908
power_maximizer,90,0.95,0.768323,0.950304,1.0,0.940365,0.5,0.5,0,0.785178
power_maximizer,91,0.95,0.771123,0.959789,0.995538,0.952639,0.5,0.5,0,0.788695
power_maximizer,92,0.95,0.776542,0.965338,0.995661,0.959273,0.5,0.5,0,0.791859
power_maximizer,93,0.95,0.787196,0.970805,0.999037,0.965158,0.5,0.5,0,0.796455
power_maximizer,94,0.95,0.789355,0.959134,1.0,0.950961,0.5,0.5,0,0.792669
power_maximizer,95,0.95,0.794018,0.967482,0.990386,0.962901,0.5,0.5,0,0.795476
power_maximizer,96,0.95,0.785008,0.963107,0.99314,0.9571,0.5,0.5,0,0.792399
power_maximizer,97,0.95,0.791018,0.955073,0.979361,0.950215,0.5,0.5,0,0.788849
power_maximizer,98,0.95,0.791044,0.958369,0.983821,0.953278,0.5,0.5,0,0.790651
power_maximizer,99,0.95,0.789545,0.959698,0.988576,0.953922,0.5,0.5,0,0.791454
power_maximizer,100,0.95,0.797585,0.955953,0.987635,0.949617,0.5,0.5,0,0.791549
power_maximizer,101,0.95,0.807949,0.954119,0.99091,0.946761,0.5,0.5,0,0.793359
power_maximizer,102,0.95,0.810809,0.959647,0.979061,0.955764,0.5,0.5,0,0.79447
power_maximizer,103,0.95,0.802752,0.946129,0.975243,0.940307,0.5,0.5,0,0.787342
power_maximizer,104,0.95,0.804272,0.947963,0.982075,0.94114,0.5,0.5,0,0.789202
power_maximizer,105,0.95,0.807519,0.956709,0.982843,0.951482,0.5,0.5,0,0.793203
power_maximizer,106,0.95,0.806564,0.948345,0.97772,0.94247,0.5,0.5,0,0.789245
power_maximizer,107,0.95,0.816793,0.959289,0.969694,0.957208,0.5,0.5,0,0.794335
power_maximizer,108,0.95,0.812269,0.962626,0.969272,0.961297,0.5,0.5,0,0.794617
power_maximizer,109,0.95,0.823495,0.959445,0.966437,0.958046,0.5,0.5,0,0.795316
power_maximizer,110,0.95,0.822061,0.962499,0.965704,0.961857,0.5,0.5,0,0.796072
power_maximizer,111,0.95,0.828756,0.970873,0.964059,0.962696,0.5,0.5,0,0.798789
power_maximizer,112,0.95,0.841094,0.969233,0.971178,0.968844,0.5,0.5,0,0.803084
power_maximizer,113,0.95,0.843845,0.971695,0.98323,0.969388,0.5,0.5,0,0.806093
power_maximizer,114,0.95,0.8482,0.972996,0.989889,0.969617,0.5,0.5,0,0.8083
power_maximizer,115,0.95,0.854664,0.973165,0.991893,0.969419,0.5,0.5,0,0.809912
power_maximizer,116,0.95,0.845748,0.961049,0.985286,0.956201,0.5,0.5,0,0.802776
power_maximizer,117,0.95,0.847202,0.97314,0.992099,0.969348,0.5,0.5,0,0.808437
power_maximizer,118,0.95,0.853784,0.971019,0.990487,0.967126,0.5,0.5,0,0.808758
power_maximizer,119,0.95,0.862537,0.969332,0.996985,0.963801,0.5,0.5,0,0.810713
power_maximizer,120,0.95,0.866388,0.985286,0.998359,0.982671,0.5,0.5,0,0.817594
power_maximizer,121,0.95,0.87092,0.988947,0.998038,0.987129,0.5,0.5,0,0.819821
power_maximizer,122,0.95,0.868484,0.991661,0.992953,0.991403,0.5,0.5,0,0.819693
power_maximizer,123,0.95,0.877184,0.995755,0.999549,0.994996,0.5,0.5,0,0.8238
power_maximizer,124,0.95,0.878694,0.99853,0.997702,0.997537,0.5,0.5,0,0.824712
power_maximizer,125,0.95,0.867843,0.996534,0.985785,0.983635,0.5,0.5,0,0.818052
power_maximizer,126,0.95,0.882554,1.0,0.981639,0.977966,0.5,0.5,0,0.820048
power_maximizer,127,0.95,0.862638,0.996739,0.996382,0.99631,0.5,0.5,0,0.820771
power_maximizer,128,0.95,0.861961,0.999569,0.987059,0.984557,0.5,0.5,0,0.817773
power_maximizer,129,0.95,0.866557,0.999057,0.991959,0.99054,0.5,0.5,0,0.820342
power_maximizer,130,0.95,0.875703,0.994938,0.997443,0.994437,0.5,0.5,0,0.82293
power_maximizer,131,0.95,0.871742,0.989673,1.0,0.987607,0.5,0.5,0,0.820507
power_maximizer,132,0.95,0.886773,0.987142,1.0,0.98457,0.5,0.5,0,0.822571
power_maximizer,133,0.95,0.892639,0.996684,0.997829,0.996455,0.5,0.5,0,0.827016
power_maximizer,134,0.95,0.89285,0.999438,0.988461,0.986265,0.5,0.5,0,0.824425
power_maximizer,135,0.95,0.89234,1.0,0.974234,0.969081,0.5,0.5,0,0.819398
power_maximizer,136,0.95,0.882648,0.995043,0.976029,0.972226,0.5,0.5,0,0.817358
power_maximizer,137,0.95,0.884421,0.994147,0.977537,0.974215,0.5,0.5,0,0.818111
power_maximizer,138,0.95,0.893876,0.998193,0.980117,0.976501,0.5,0.5,0,0.821509
power_maximizer,139,0.95,0.900047,1.0,0.979833,0.975799,0.5,0.5,0,0.822911
power_maximizer,140,0.95,0.897819,0.993806,0.972608,0.968368,0.5,0.5,0,0.819005
power_maximizer,141,0.95,0.897509,0.988548,0.972513,0.969305,0.5,0.5,0,0.818131
power_maximizer,142,0.95,0.901718,0.984092,0.978244,0.977074,0.5,0.5,0,0.820331
power_maximizer,143,0.95,0.904241,0.980366,0.981795,0.98008,0.5,0.5,0,0.821214
power_maximizer,144,0.95,0.896456,0.980193,0.983586,0.979515,0.5,0.5,0,0.819822
power_maximizer,145,0.95,0.901775,0.971702,0.9918,0.967682,0.5,0.5,0,0.818778
power_maximizer,146,0.95,0.903554,0.974222,0.977439,0.973579,0.5,0.5,0,0.818234
power_maximizer,147,0.95,0.905004,0.968099,0.981996,0.965319,0.5,0.5,0,0.816829
power_maximizer,148,0.95,0.899391,0.963457,0.983625,0.959423,0.5,0.5,0,0.814188
power_maximizer,149,0.95,0.893412,0.96539,0.994749,0.959518,0.5,0.5,0,0.815135
power_maximizer,150,0.95,0.893821,0.955894,0.987126,0.949648,0.5,0.5,0,0.810709
power_maximizer,151,0.95,0.893456,0.961299,0.98873,0.955813,0.5,0.5,0,0.812852
power_maximizer,152,0.95,0.90138,0.958298,0.996512,0.950656,0.5,0.5,0,0.814316
power_maximizer,153,0.95,0.900087,0.962046,1.0,0.954455,0.5,0.5,0,0.815898
power_maximizer,154,0.95,0.890402,0.965729,0.993794,0.960116,0.5,0.5,0,0.814537
power_maximizer,155,0.95,0.882812,0.968819,0.989029,0.964776,0.5,0.5,0,0.813559
power_maximizer,156,0.95,0.892323,0.970643,0.985477,0.967676,0.5,0.5,0,0.815685
power_maximizer,157,0.95,0.892597,0.971187,0.987265,0.967972,0.5,0.5,0,0.816171
power_maximizer,158,0.95,0.900166,0.968333,0.984948,0.96501,0.5,0.5,0,0.816326
power_maximizer,159,0.95,0.895642,0.954236,0.994794,0.946124,0.5,0.5,0,0.811438
power_maximizer,160,0.95,1.0,0.796742,0.83193,0.789705,0.595,0.576,1,0.778525
power_maximizer,161,0.95,1.0,0.792501,0.837424,0.783517,0.595,0.576,1,0.777651
power_maximizer,162,0.95,0.991845,0.799186,0.851691,0.788685,0.595,0.576,1,0.780333
power_maximizer,163,0.95,0.992946,0.800744,0.857162,0.78946,0.595,0.576,1,0.781833
power_maximizer,164,0.95,0.98658,0.792751,0.859863,0.779329,0.595,0.576,1,0.777932
power_maximizer,165,0.95,1.0,0.794193,0.871551,0.778721,0.595,0.576,1,0.782648
power_maximizer,166,0.95,1.0,0.798579,0.867879,0.784719,0.595,0.576,1,0.78381
power_maximizer,167,0.95,1.0,0.799053,0.859312,0.787002,0.595,0.576,1,0.78289
power_maximizer,168,0.95,0.996581,0.799411,0.860511,0.787191,0.595,0.576,1,0.782492
power_maximizer,169,0.95,0.987455,0.80471,0.859049,0.793843,0.595,0.576,1,0.782451
power_maximizer,170,0.95,0.997534,0.808688,0.856457,0.799134,0.595,0.576,1,0.785615
power_maximizer,171,0.95,1.0,0.81308,0.872475,0.801201,0.595,0.576,1,0.789792
power_maximizer,172,0.95,1.0,0.814321,0.878906,0.801404,0.595,0.576,1,0.791077
power_maximizer,173,0.95,1.0,0.813421,0.877746,0.800556,0.595,0.576,1,0.790594
power_maximizer,174,0.95,1.0,0.824651,0.87646,0.814289,0.595,0.576,1,0.794607
power_maximizer,175,0.95,1.0,0.82528,0.883655,0.813605,0.595,0.576,1,0.795762
power_maximizer,176,0.95,0.997186,0.822682,0.871129,0.812993,0.595,0.576,1,0.79263
power_maximizer,177,0.95,0.993665,0.823604,0.879354,0.812454,0.595,0.576,1,0.793321
power_maximizer,178,0.95,0.989219,0.825379,0.887096,0.813035,0.595,0.576,1,0.794083
power_maximizer,179,0.95,0.985734,0.830825,0.887122,0.819566,0.595,0.576,1,0.795415
power_maximizer,180,0.95,0.989425,0.837065,0.882266,0.828025,0.595,0.576,1,0.797853
power_maximizer,181,0.95,0.991539,0.831725,0.874298,0.823211,0.595,0.576,1,0.79527
power_maximizer,182,0.95,0.992532,0.827611,0.875229,0.818087,0.595,0.576,1,0.794057
power_maximizer,183,0.95,0.978086,0.8207,0.871189,0.810602,0.595,0.576,1,0.78808
power_maximizer,184,0.95,0.984146,0.827455,0.865894,0.819768,0.595,0.576,1,0.791127
power_maximizer,185,0.95,0.991529,0.829875,0.870796,0.821691,0.595,0.576,1,0.794131
power_maximizer,186,0.95,0.997554,0.832866,0.877013,0.824036,0.595,0.576,1,0.797244
power_maximizer,187,0.95,0.988395,0.821388,0.884499,0.808765,0.595,0.576,1,0.792101
power_maximizer,188,0.95,0.98403,0.812372,0.886479,0.797551,0.595,0.576,1,0.788128
power_maximizer,189,0.95,1.0,0.817721,0.885611,0.804143,0.595,0.576,1,0.793201
power_maximizer,190,0.95,1.0,0.818113,0.880894,0.805557,0.595,0.576,1,0.792742
power_maximizer,191,0.95,1.0,0.827112,0.876798,0.817175,0.595,0.576,1,0.795566
power_maximizer,192,0.95,1.0,0.831842,0.885774,0.821056,0.595,0.576,1,0.798474
power_maximizer,193,0.95,1.0,0.837681,0.88919,0.82738,0.595,0.576,1,0.801084
power_maximizer,194,0.95,1.0,0.836292,0.88284,0.826982,0.595,0.576,1,0.799754
power_maximizer,195,0.95,1.0,0.846412,0.885777,0.838539,0.595,0.576,1,0.803895
power_maximizer,196,0.95,1.0,0.849472,0.880587,0.843248,0.595,0.576,1,0.804369
power_maximizer,197,0.95,1.0,0.843462,0.881713,0.835812,0.595,0.576,1,0.802277
power_maximizer,198,0.95,1.0,0.850706,0.883201,0.844207,0.595,0.576,1,0.805162
power_maximizer,199,0.95,1.0,0.85128,0.878108,0.845914,0.595,0.576,1,0.804724
power_maximizer,200,0.95,0.997831,0.845563,0.882638,0.838147,0.595,0.576,1,0.802743
power_maximizer,201,0.95,0.987338,0.84668,0.890021,0.838012,0.595,0.576,1,0.802005
power_maximizer,202,0.95,0.999344,0.848753,0.88627,0.84125,0.595,0.576,1,0.804698
power_maximizer,203,0.95,1.0,0.852844,0.895359,0.844341,0.595,0.576,1,0.807514
power_maximizer,204,0.95,1.0,0.847144,0.8947,0.837633,0.595,0.576,1,0.805309
power_maximizer,205,0.95,1.0,0.845511,0.897481,0.835117,0.595,0.576,1,0.805058
power_maximizer,206,0.95,0.998775,0.849234,0.896299,0.839821,0.595,0.576,1,0.806046
power_maximizer,207,0.95,1.0,0.844206,0.894656,0.834116,0.595,0.576,1,0.804211
power_maximizer,208,0.95,0.994503,0.833376,0.884749,0.823101,0.595,0.576,1,0.797814
power_maximizer,209,0.95,0.998551,0.83467,0.893417,0.82292,0.595,0.576,1,0.800215
power_maximizer,210,0.95,1.0,0.846022,0.88793,0.837641,0.595,0.576,1,0.804025
power_maximizer,211,0.95,0.997777,0.842504,0.887317,0.833542,0.595,0.576,1,0.802193
power_maximizer,212,0.95,1.0,0.842378,0.9001,0.830834,0.595,0.576,1,0.804228
power_maximizer,213,0.95,1.0,0.84371,0.902085,0.832035,0.595,0.576,1,0.804977
power_maximizer,214,0.95,1.0,0.850693,0.899016,0.841029,0.595,0.576,1,0.807182
power_maximizer,215,0.95,1.0,0.849546,0.90568,0.83832,0.595,0.576,1,0.807608
power_maximizer,216,0.95,1.0,0.851436,0.908831,0.839957,0.595,0.576,1,0.808714
power_maximizer,217,0.95,0.988304,0.857218,0.904033,0.847855,0.595,0.576,1,0.807912
power_maximizer,218,0.95,0.991637,0.859435,0.901023,0.851118,0.595,0.576,1,0.809018
power_maximizer,219,0.95,0.9847,0.85868,0.898702,0.850676,0.595,0.576,1,0.807053
power_maximizer,220,0.95,0.99073,0.854329,0.904263,0.844342,0.595,0.576,1,0.807352
power_maximizer,221,0.95,0.979395,0.844325,0.905338,0.832123,0.595,0.576,1,0.801501
power_maximizer,222,0.95,0.982368,0.846026,0.907827,0.833665,0.595,0.576,1,0.803047
power_maximizer,223,0.95,0.977279,0.840841,0.902373,0.828535,0.595,0.576,1,0.799403
power_maximizer,224,0.95,0.991038,0.840163,0.888535,0.830489,0.595,0.576,1,0.800131
power_maximizer,225,0.95,0.988174,0.838735,0.887422,0.828998,0.595,0.576,1,0.798884
power_maximizer,226,0.95,0.98948,0.846966,0.884717,0.839416,0.595,0.576,1,0.801861
power_maximizer,227,0.95,0.997111,0.839589,0.888438,0.829819,0.595,0.576,1,0.801119
power_maximizer,228,0.95,0.999731,0.851043,0.886044,0.844043,0.595,0.576,1,0.805598
power_maximizer,229,0.95,1.0,0.845169,0.887831,0.836636,0.595,0.576,1,0.803695
power_maximizer,230,0.95,0.997786,0.849409,0.89251,0.840789,0.595,0.576,1,0.805429
power_maximizer,231,0.95,1.0,0.858161,0.902418,0.84931,0.595,0.576,1,0.810395
power_maximizer,232,0.95,1.0,0.848578,0.901682,0.837958,0.595,0.576,1,0.806736
power_maximizer,233,0.95,1.0,0.846967,0.901865,0.835987,0.595,0.576,1,0.80616
power_maximizer,234,0.95,1.0,0.851286,0.901649,0.841213,0.595,0.576,1,0.807739
power_maximizer,235,0.95,1.0,0.85576,0.909821,0.844948,0.595,0.576,1,0.81045
power_maximizer,236,0.95,1.0,0.861029,0.903998,0.852435,0.595,0.576,1,0.811664
power_maximizer,237,0.95,1.0,0.867892,0.906419,0.860187,0.595,0.576,1,0.814527
power_maximizer,238,0.95,1.0,0.876679,0.909278,0.870159,0.595,0.576,1,0.818162
power_maximizer,239,0.95,1.0,0.860575,0.912664,0.850158,0.595,0.576,1,0.812605
power_maximizer,240,0.95,0.990012,0.718537,0.755514,0.711142,0.69,0.652,2,0.763304
power_maximizer,241,0.95,0.988115,0.730138,0.755543,0.725057,0.69,0.652,2,0.767244
power_maximizer,242,0.95,0.9919,0.735825,0.768178,0.729354,0.69,0.652,2,0.771734
power_maximizer,243,0.95,0.987681,0.738337,0.770746,0.731855,0.69,0.652,2,0.772153
power_maximizer,244,0.95,0.989435,0.737023,0.779044,0.728619,0.69,0.652,2,0.773077
power_maximizer,245,0.95,0.990972,0.739542,0.783034,0.730844,0.69,0.652,2,0.774832
power_maximizer,246,0.95,0.986775,0.736418,0.792265,0.725249,0.69,0.652,2,0.774012
power_maximizer,247,0.95,0.97924,0.742244,0.797538,0.731185,0.69,0.652,2,0.775348
power_maximizer,248,0.95,0.984876,0.74975,0.802214,0.739258,0.69,0.652,2,0.779866
power_maximizer,249,0.95,0.977442,0.75474,0.802772,0.745133,0.69,0.652,2,0.780306
power_maximizer,250,0.95,0.988206,0.766558,0.815905,0.756689,0.69,0.652,2,0.788537
power_maximizer,251,0.95,0.991128,0.771476,0.822715,0.761228,0.69,0.652,2,0.791822
power_maximizer,252,0.95,0.995974,0.779161,0.824487,0.770096,0.69,0.652,2,0.795877
power_maximizer,253,0.95,0.996459,0.785614,0.826611,0.777415,0.69,0.652,2,0.798646
power_maximizer,254,0.95,1.0,0.785938,0.833229,0.77648,0.69,0.652,2,0.800322
power_maximizer,255,0.95,0.993921,0.797161,0.832226,0.790147,0.69,0.652,2,0.803153
power_maximizer,256,0.95,0.989361,0.793468,0.834552,0.785252,0.69,0.652,2,0.801165
power_maximizer,257,0.95,0.990466,0.799665,0.838577,0.791883,0.69,0.652,2,0.804206
power_maximizer,258,0.95,0.997545,0.805766,0.827866,0.801346,0.69,0.652,2,0.806521
power_maximizer,259,0.95,0.983903,0.808313,0.829904,0.803995,0.69,0.652,2,0.805001
power_maximizer,260,0.95,0.997205,0.81183,0.828943,0.808407,0.69,0.652,2,0.808846
power_maximizer,261,0.95,0.996781,0.81408,0.836912,0.809513,0.69,0.652,2,0.810619
power_maximizer,262,0.95,1.0,0.820375,0.833141,0.817822,0.69,0.652,2,0.813122
power_maximizer,263,0.95,1.0,0.823142,0.830569,0.821657,0.69,0.652,2,0.813822
power_maximizer,264,0.95,0.999499,0.82852,0.826869,0.826538,0.69,0.652,2,0.814878
power_maximizer,265,0.95,0.993365,0.829353,0.829604,0.829303,0.69,0.652,2,0.814682
power_maximizer,266,0.95,0.986146,0.840233,0.832548,0.831011,0.69,0.652,2,0.815941
power_maximizer,267,0.95,0.990893,0.844819,0.833635,0.831398,0.69,0.652,2,0.817951
power_maximizer,268,0.95,0.991041,0.853474,0.831765,0.827424,0.69,0.652,2,0.818604
power_maximizer,269,0.95,0.986265,0.857963,0.842455,0.839353,0.69,0.652,2,0.822076
power_maximizer,270,0.95,0.98849,0.852979,0.84297,0.840968,0.69,0.652,2,0.821964
power_maximizer,271,0.95,0.984987,0.856104,0.852768,0.852101,0.69,0.652,2,0.825175
power_maximizer,272,0.95,0.984095,0.866443,0.855997,0.853908,0.69,0.652,2,0.827664
power_maximizer,273,0.95,0.991355,0.868417,0.858388,0.856382,0.69,0.652,2,0.830249
power_maximizer,274,0.95,0.983971,0.860734,0.864007,0.86008,0.69,0.652,2,0.82888
power_maximizer,275,0.95,0.983002,0.862457,0.870408,0.860866,0.69,0.652,2,0.830146
power_maximizer,276,0.95,0.981553,0.871465,0.881438,0.86947,0.69,0.652,2,0.83462
power_maximizer,277,0.95,0.993143,0.880459,0.889642,0.878623,0.69,0.652,2,0.841333
power_maximizer,278,0.95,1.0,0.885012,0.884382,0.884256,0.69,0.652,2,0.843584
power_maximizer,279,0.95,0.992953,0.881624,0.893591,0.87923,0.69,0.652,2,0.842234
power_maximizer,280,0.95,1.0,0.881414,0.887954,0.880106,0.69,0.652,2,0.842844
power_maximizer,281,0.95,1.0,0.883311,0.896101,0.880753,0.69,0.652,2,0.844593
power_maximizer,282,0.95,1.0,0.87878,0.90005,0.874526,0.69,0.652,2,0.843412
power_maximizer,283,0.95,0.997801,0.878819,0.900144,0.874554,0.69,0.652,2,0.843
power_maximizer,284,0.95,1.0,0.879683,0.899879,0.875644,0.69,0.652,2,0.843727
power_maximizer,285,0.95,0.996646,0.879548,0.896965,0.876065,0.69,0.652,2,0.842633
power_maximizer,286,0.95,0.999127,0.888724,0.898572,0.886755,0.69,0.652,2,0.846748
power_maximizer,287,0.95,1.0,0.890082,0.910102,0.886079,0.69,0.652,2,0.848904
power_maximizer,288,0.95,0.987788,0.888142,0.911268,0.883517,0.69,0.652,2,0.845889
power_maximizer,289,0.95,0.995372,0.887179,0.918447,0.880926,0.69,0.652,2,0.847966
power_maximizer,290,0.95,1.0,0.894309,0.921061,0.888959,0.69,0.652,2,0.851879
