agent,step,perturbation,memory,intent,correction,constraint,truth,coherence,gv,mode,reasons,action
gv_runtime_recoverable,73,0.0,0.991777,0.980226,1.0,0.990902,1.0,0.986379,0.992445,STABLE,,continue
gv_runtime_recoverable,74,0.0,1.0,0.991373,1.0,1.0,0.997948,0.995024,0.997685,STABLE,,continue
gv_runtime_recoverable,75,0.0,0.979965,1.0,0.995423,1.0,1.0,0.98848,0.994713,STABLE,,continue
gv_runtime_recoverable,76,0.0,0.966891,0.987484,0.980252,0.992059,1.0,0.975789,0.984962,STABLE,,continue
gv_runtime_recoverable,77,0.0,0.977007,0.991974,0.969758,0.970003,1.0,0.971394,0.980207,STABLE,,continue
gv_runtime_recoverable,78,0.0,0.975674,0.997675,0.982342,0.975333,1.0,0.977162,0.98503,STABLE,,continue
gv_runtime_recoverable,79,0.0,0.981547,1.0,0.978545,0.976783,1.0,0.978517,0.985921,STABLE,,continue
gv_runtime_recoverable,80,0.0,0.992468,0.996063,0.987704,0.97718,0.998825,0.983982,0.989245,STABLE,,continue
gv_runtime_recoverable,81,0.0,1.0,0.976675,0.977002,0.965361,0.975643,0.969262,0.976609,STABLE,,continue
gv_runtime_recoverable,82,0.0,0.993217,0.987388,0.978385,0.971897,0.989741,0.977462,0.982631,STABLE,,continue
gv_runtime_recoverable,83,0.0,1.0,0.988437,0.995898,0.976517,0.982717,0.981463,0.987088,STABLE,,continue
gv_runtime_recoverable,84,0.0,0.994056,0.975228,0.987771,0.976027,0.993027,0.978318,0.984391,STABLE,,continue
gv_runtime_recoverable,85,0.0,1.0,0.964825,0.99395,0.968777,0.998692,0.972288,0.983852,STABLE,,continue
gv_runtime_recoverable,86,0.0,0.998689,0.95137,1.0,0.966836,0.993525,0.965499,0.980582,STABLE,,continue
gv_runtime_recoverable,87,0.0,0.988185,0.951538,1.0,0.969308,0.997664,0.965691,0.980459,STABLE,,continue
gv_runtime_recoverable,88,0.0,0.993543,0.971432,0.996572,0.958578,1.0,0.97027,0.982413,STABLE,,continue
gv_runtime_recoverable,89,0.0,0.991179,0.98652,1.0,0.962718,1.0,0.976432,0.986495,STABLE,,continue
gv_runtime_recoverable,90,0.18535,0.929839,0.896399,0.923755,0.967266,0.980422,0.91363,0.93896,STABLE,,continue
gv_runtime_recoverable,91,0.0,0.943498,0.910438,0.940923,0.96324,0.967103,0.927893,0.944668,STABLE,,continue
gv_runtime_recoverable,92,0.0,0.931085,0.911623,0.947206,0.965145,0.990805,0.925959,0.949121,STABLE,,continue
gv_runtime_recoverable,93,0.0,0.952289,0.914198,0.960397,0.965662,0.989171,0.935615,0.95608,STABLE,,continue
gv_runtime_recoverable,94,0.0,0.961165,0.932231,0.964292,0.980819,0.979177,0.94867,0.963296,STABLE,,continue
gv_runtime_recoverable,95,0.0,0.966945,0.96756,0.973093,0.997675,0.982832,0.967818,0.977338,STABLE,,continue
gv_runtime_recoverable,96,0.0,0.977619,0.971469,0.97634,0.990186,0.989395,0.974654,0.980843,STABLE,,continue
gv_runtime_recoverable,97,0.0,0.972398,0.982062,0.991546,0.995143,0.987928,0.979032,0.985745,STABLE,,continue
gv_runtime_recoverable,98,0.0,0.981001,0.981451,1.0,0.977468,0.98616,0.978508,0.984685,STABLE,,continue
gv_runtime_recoverable,99,0.0,0.963889,0.96906,1.0,0.989385,0.980787,0.969438,0.980475,STABLE,,continue
gv_runtime_recoverable,100,0.0,0.95418,0.943684,0.994565,1.0,0.987664,0.956721,0.976142,STABLE,,continue
gv_runtime_recoverable,101,0.0,0.955329,0.956107,0.979955,0.997027,0.990282,0.961094,0.975837,STABLE,,continue
gv_runtime_recoverable,102,0.0,0.961043,0.970072,0.98709,1.0,0.984677,0.968994,0.980498,STABLE,,continue
gv_runtime_recoverable,103,0.0,0.975756,0.990491,0.979764,0.991123,1.0,0.980055,0.986951,STABLE,,continue
gv_runtime_recoverable,104,0.0,0.977411,1.0,0.979062,1.0,1.0,0.982221,0.99037,STABLE,,continue
gv_runtime_recoverable,105,0.0,0.983319,1.0,0.979297,0.990589,0.995514,0.983275,0.988704,STABLE,,continue
gv_runtime_recoverable,106,0.0,0.990297,0.984342,0.989481,0.98644,1.0,0.985535,0.989849,STABLE,,continue
gv_runtime_recoverable,107,0.0,0.967783,0.978637,0.974552,0.979962,1.0,0.971027,0.9798,STABLE,,continue
gv_runtime_recoverable,108,0.0,0.970733,0.979052,0.977642,0.984633,0.989915,0.974869,0.980267,STABLE,,continue
gv_runtime_recoverable,109,0.0,0.98211,0.988569,0.985607,0.99222,0.994206,0.984826,0.988399,STABLE,,continue
gv_runtime_recoverable,110,0.0,1.0,0.989276,0.985184,0.985709,0.984646,0.984074,0.987668,STABLE,,continue
gv_runtime_recoverable,111,0.0,0.987555,0.981868,0.987203,0.990933,0.987178,0.984479,0.986828,STABLE,,continue
gv_runtime_recoverable,112,0.0,0.981732,0.993372,0.996952,0.990529,0.982336,0.983857,0.988343,STABLE,,continue
gv_runtime_recoverable,113,0.0,0.989905,0.996166,0.983032,0.991096,0.987281,0.985812,0.988604,STABLE,,continue
gv_runtime_recoverable,114,0.0,0.982394,0.998594,0.971606,1.0,1.0,0.980689,0.98924,STABLE,,continue
gv_runtime_recoverable,115,0.0,0.982461,1.0,0.952731,0.988437,0.997062,0.969782,0.981548,STABLE,,continue
gv_runtime_recoverable,116,0.0,0.974321,1.0,0.981401,0.978192,0.989074,0.976862,0.983303,STABLE,,continue
gv_runtime_recoverable,117,0.0,0.980455,1.0,0.9726,0.983552,1.0,0.978014,0.985855,STABLE,,continue
gv_runtime_recoverable,118,0.0,0.966815,0.987189,0.973405,0.980511,1.0,0.971843,0.980863,STABLE,,continue
gv_runtime_recoverable,119,0.0,0.974116,0.971208,0.983453,0.9773,1.0,0.972516,0.981041,STABLE,,continue
gv_runtime_recoverable,120,0.0,0.97165,0.968815,0.991909,0.987917,1.0,0.97388,0.984175,STABLE,,continue
gv_runtime_recoverable,121,0.0,0.958968,0.978499,0.983055,0.99186,0.985763,0.970109,0.979447,STABLE,,continue
gv_runtime_recoverable,122,0.0,0.969471,0.9734,0.973346,1.0,0.990053,0.971255,0.980924,STABLE,,continue
gv_runtime_recoverable,123,0.0,0.967825,0.991582,0.973844,1.0,0.994051,0.974922,0.984647,STABLE,,continue
gv_runtime_recoverable,124,0.0,0.966364,0.997455,0.973322,0.995884,1.0,0.97477,0.985552,STABLE,,continue
gv_runtime_recoverable,125,0.142779,0.882937,0.942527,0.943757,0.983806,0.972065,0.915334,0.944362,STABLE,,continue
gv_runtime_recoverable,126,0.0,0.897064,0.947596,0.952207,0.974803,0.981537,0.925367,0.950243,STABLE,,continue
gv_runtime_recoverable,127,0.0,0.917461,0.939884,0.967993,0.998646,0.985686,0.936683,0.961962,STABLE,,continue
gv_runtime_recoverable,128,0.0,0.926238,0.94676,0.980035,0.981517,0.989214,0.944211,0.964947,STABLE,,continue
gv_runtime_recoverable,129,0.0,0.933191,0.972585,0.981966,1.0,0.979596,0.954703,0.97296,STABLE,,continue
gv_runtime_recoverable,130,0.0,0.948898,0.979562,0.976594,1.0,0.994406,0.964751,0.979484,STABLE,,continue
gv_runtime_recoverable,131,0.0,0.953182,0.965463,0.980725,0.990976,0.991719,0.963666,0.976491,STABLE,,continue
gv_runtime_recoverable,132,0.0,0.959258,0.953173,0.968115,0.996984,0.987582,0.958831,0.972862,STABLE,,continue
gv_runtime_recoverable,133,0.0,0.939608,0.967483,0.976706,0.990242,0.976048,0.955686,0.969718,STABLE,,continue
gv_runtime_recoverable,134,0.0,0.956856,0.975464,1.0,0.995728,0.983077,0.969121,0.982005,STABLE,,continue
gv_runtime_recoverable,135,0.0,0.961537,0.987018,1.0,1.0,0.980091,0.973553,0.985113,STABLE,,continue
gv_runtime_recoverable,136,0.0,0.962845,0.984018,1.0,1.0,0.978122,0.973042,0.984411,STABLE,,continue
gv_runtime_recoverable,137,0.0,0.964066,0.989365,0.997542,1.0,0.958484,0.967197,0.980118,STABLE,,continue
gv_runtime_recoverable,138,0.0,0.961089,0.983008,0.974791,0.990364,0.954796,0.961546,0.971128,STABLE,,continue
gv_runtime_recoverable,139,0.0,0.964805,0.996483,0.976979,0.981324,0.960175,0.965037,0.973798,STABLE,,continue
gv_runtime_recoverable,140,0.0,0.980478,0.987208,0.972109,0.989367,0.963201,0.970207,0.976626,STABLE,,continue
gv_runtime_recoverable,141,0.0,0.989826,0.988837,0.984258,0.980415,0.967923,0.975522,0.980458,STABLE,,continue
gv_runtime_recoverable,142,0.0,0.989217,0.978219,0.971519,0.98985,0.968634,0.97203,0.977912,STABLE,,continue
gv_runtime_recoverable,143,0.0,0.980581,0.980263,0.98804,0.968379,0.957796,0.965946,0.973029,STABLE,,continue
gv_runtime_recoverable,144,0.0,0.974211,0.997598,0.993067,0.980213,0.951948,0.965706,0.976565,STABLE,,continue
gv_runtime_recoverable,145,0.0,0.966812,1.0,0.994925,0.988304,0.956395,0.96699,0.978825,STABLE,,continue
gv_runtime_recoverable,146,0.0,0.974479,1.0,1.0,0.997914,0.945935,0.965656,0.980409,STABLE,,continue
gv_runtime_recoverable,147,0.0,0.955763,1.0,1.0,0.987982,0.934451,0.953374,0.971886,STABLE,,continue
gv_runtime_recoverable,148,0.0,0.963265,1.0,1.0,0.994727,0.93936,0.958834,0.975964,STABLE,,continue
gv_runtime_recoverable,149,0.0,0.959741,1.0,0.997007,0.98527,0.967828,0.968496,0.980151,STABLE,,continue
gv_runtime_recoverable,150,0.277237,0.852271,0.852173,0.889669,0.97697,0.959853,0.861229,0.905826,STABLE,,continue
gv_runtime_recoverable,151,0.0,0.886513,0.878927,0.91737,0.98637,0.968544,0.890902,0.927307,STABLE,,continue
gv_runtime_recoverable,152,0.0,0.885382,0.896471,0.927012,0.975365,0.989502,0.899475,0.934738,STABLE,,continue
gv_runtime_recoverable,153,0.0,0.919544,0.92435,0.942994,0.992114,0.991004,0.927097,0.95381,STABLE,,continue
gv_runtime_recoverable,154,0.0,0.933415,0.923855,0.957453,0.993755,0.979162,0.935053,0.957487,STABLE,,continue
gv_runtime_recoverable,155,0.0,0.942704,0.933566,0.983257,1.0,0.982018,0.946544,0.968417,STABLE,,continue
gv_runtime_recoverable,156,0.0,0.953626,0.943176,0.984309,0.989176,0.982874,0.95485,0.970768,STABLE,,continue
gv_runtime_recoverable,157,0.0,0.952991,0.938515,0.992308,0.994513,0.967261,0.950562,0.968838,STABLE,,continue
gv_runtime_recoverable,158,0.0,0.958684,0.956957,1.0,1.0,0.971958,0.961306,0.977164,STABLE,,continue
gv_runtime_recoverable,159,0.0,0.956315,0.95206,1.0,1.0,0.988522,0.9615,0.979487,STABLE,,continue
gv_runtime_recoverable,160,0.0,0.973746,0.957353,0.987558,0.996809,0.992205,0.969341,0.981532,STABLE,,continue
gv_runtime_recoverable,161,0.0,0.975589,0.957459,0.992376,0.992189,0.98695,0.969679,0.980839,STABLE,,continue
gv_runtime_recoverable,162,0.0,0.982297,0.95931,0.99622,0.995949,0.977273,0.970594,0.981675,STABLE,,continue
gv_runtime_recoverable,163,0.0,0.980091,0.979303,0.985295,0.975316,0.961646,0.96953,0.974894,STABLE,,continue
gv_runtime_recoverable,164,0.0,0.983312,0.982468,0.986824,0.990706,0.939965,0.960866,0.973454,STABLE,,continue
gv_runtime_recoverable,165,0.0,0.989728,1.0,0.977971,0.988131,0.940336,0.961668,0.974822,STABLE,,continue
gv_runtime_recoverable,166,0.0,0.982297,0.996737,0.996299,1.0,0.944829,0.966584,0.980649,STABLE,,continue
gv_runtime_recoverable,167,0.0,1.0,0.997543,1.0,0.999067,0.9534,0.974427,0.986579,STABLE,,continue
gv_runtime_recoverable,168,0.0,1.0,1.0,1.0,0.992117,0.969222,0.982136,0.989846,STABLE,,continue
gv_runtime_recoverable,169,0.0,0.996382,0.995102,1.0,0.993465,0.976058,0.985101,0.990692,STABLE,,continue
gv_runtime_recoverable,170,0.0,0.997054,0.999144,1.0,0.974956,0.985875,0.983192,0.989531,STABLE,,continue
gv_runtime_recoverable,171,0.0,0.987668,0.984839,0.999416,0.979091,0.980799,0.980254,0.985463,STABLE,,continue
gv_runtime_recoverable,172,0.0,0.997793,0.97351,0.995454,0.975994,0.98286,0.976703,0.983868,STABLE,,continue
gv_runtime_recoverable,173,0.0,1.0,0.967086,1.0,0.979783,0.966196,0.969873,0.980572,STABLE,,continue
gv_runtime_recoverable,174,0.0,0.980414,0.971505,0.99779,0.98141,0.970365,0.971941,0.979461,STABLE,,continue
gv_runtime_recoverable,175,0.0,0.985553,0.984914,0.987086,0.972136,0.963331,0.970675,0.976678,STABLE,,continue
gv_runtime_recoverable,176,0.0,0.990569,0.999445,0.985149,0.950786,0.951117,0.957998,0.970773,STABLE,,continue
gv_runtime_recoverable,177,0.0,0.983626,0.993945,0.983797,0.957649,0.954433,0.961335,0.971208,STABLE,,continue
gv_runtime_recoverable,178,0.0,0.99653,0.98802,0.978156,0.968011,0.945073,0.960013,0.971025,STABLE,,continue
gv_runtime_recoverable,179,0.0,1.0,0.990699,0.9807,0.988103,0.946079,0.965328,0.977132,STABLE,,continue
truth_drift_agent,0,0.0,1.0,0.997746,0.98723,1.0,0.989238,0.990172,0.99373,STABLE,,continue
truth_drift_agent,1,0.0,0.992482,1.0,0.994625,0.993778,0.999594,0.99346,0.995747,STABLE,,continue
truth_drift_agent,2,0.0,1.0,1.0,1.0,1.0,0.980804,0.989634,0.99471,STABLE,,continue
truth_drift_agent,3,0.0,0.996821,0.99133,1.0,0.994286,0.980002,0.986652,0.991387,STABLE,,continue
truth_drift_agent,4,0.0,1.0,0.990569,1.0,0.992635,0.981655,0.987173,0.991816,STABLE,,continue
truth_drift_agent,5,0.0,1.0,0.996071,1.0,1.0,0.985573,0.991578,0.995386,STABLE,,continue
truth_drift_agent,6,0.0,1.0,0.984987,0.999121,1.0,0.994879,0.990928,0.995437,STABLE,,continue
truth_drift_agent,7,0.0,1.0,0.995472,1.0,1.0,0.998002,0.997175,0.998571,STABLE,,continue
truth_drift_agent,8,0.0,0.996443,0.999319,0.970694,1.0,0.961608,0.971849,0.982219,STABLE,,continue
truth_drift_agent,9,0.0,0.979618,1.0,0.979689,0.988376,0.956207,0.968558,0.977918,STABLE,,continue
truth_drift_agent,10,0.0,0.995672,0.99516,1.0,0.989724,0.962249,0.977039,0.985999,STABLE,,continue
truth_drift_agent,11,0.0,1.0,0.996993,0.989977,0.989835,0.963584,0.977138,0.985259,STABLE,,continue
truth_drift_agent,12,0.0,0.986353,0.994759,0.983998,1.0,0.965562,0.976117,0.984084,STABLE,,continue
truth_drift_agent,13,0.0,0.985097,0.994263,0.988534,1.0,0.957107,0.972385,0.982487,STABLE,,continue
truth_drift_agent,14,0.0,0.976398,1.0,0.986061,0.985832,0.963467,0.972085,0.980141,STABLE,,continue
truth_drift_agent,15,0.0,0.98375,0.984693,0.990363,0.994854,0.968848,0.977022,0.983326,STABLE,,continue
truth_drift_agent,16,0.0,0.991942,0.972303,0.995061,0.992433,0.965415,0.97311,0.981937,STABLE,,continue
truth_drift_agent,17,0.0,1.0,0.990087,1.0,1.0,0.965867,0.979945,0.988978,STABLE,,continue
truth_drift_agent,18,0.0,1.0,0.998826,1.0,1.0,0.975634,0.986698,0.9931,STABLE,,continue
truth_drift_agent,19,0.0,0.999407,0.99166,0.995855,1.0,0.976756,0.985488,0.991281,STABLE,,continue
truth_drift_agent,20,0.0,1.0,0.999262,0.992704,1.0,0.981585,0.988664,0.99324,STABLE,,continue
truth_drift_agent,21,0.0,0.987652,1.0,0.988747,0.983449,0.97196,0.978672,0.984394,STABLE,,continue
truth_drift_agent,22,0.0,0.978864,1.0,0.987629,0.982027,0.979413,0.978916,0.984207,STABLE,,continue
truth_drift_agent,23,0.0,0.984698,1.0,0.993509,0.990302,0.959256,0.973611,0.982938,STABLE,,continue
truth_drift_agent,24,0.0,0.982816,0.978198,0.994804,0.991396,0.971537,0.976522,0.98294,STABLE,,continue
truth_drift_agent,25,0.275703,0.862757,0.837697,0.884608,0.943016,0.78532,0.818441,0.856958,WATCH,,monitor drift; preserve failed evidence; avoid irreversible steps
truth_drift_agent,26,0.0,0.888429,0.849648,0.909282,0.956492,0.785389,0.828829,0.870942,WATCH,,monitor drift; preserve failed evidence; avoid irreversible steps
truth_drift_agent,27,0.0,0.911021,0.872872,0.923364,0.953985,0.786412,0.840448,0.881387,STABLE,,continue
truth_drift_agent,28,0.0,0.915894,0.892028,0.924844,0.963771,0.783563,0.844347,0.886867,STABLE,,continue
truth_drift_agent,29,0.0,0.923543,0.904785,0.960117,0.954259,0.80798,0.863442,0.902175,STABLE,,continue
truth_drift_agent,30,0.0,0.933849,0.91918,0.967044,0.964085,0.815045,0.872722,0.911529,STABLE,,continue
truth_drift_agent,31,0.0,0.95601,0.923344,0.983112,0.961865,0.822729,0.881235,0.920574,STABLE,,continue
truth_drift_agent,32,0.0,0.950358,0.936173,0.999995,0.965576,0.828702,0.887053,0.927501,STABLE,,continue
truth_drift_agent,33,0.0,0.944931,0.940773,0.984068,0.960496,0.838644,0.891339,0.925982,STABLE,,continue
truth_drift_agent,34,0.0,0.964465,0.975262,0.980496,0.979494,0.84831,0.906285,0.940502,STABLE,,continue
truth_drift_agent,35,0.0,0.967046,0.98226,0.983924,0.98301,0.851022,0.909599,0.944169,STABLE,,continue
truth_drift_agent,36,0.0,0.956861,0.968739,0.992771,0.982241,0.851736,0.907258,0.9422,STABLE,,continue
truth_drift_agent,37,0.0,0.961916,0.980065,0.995616,0.977769,0.870641,0.919309,0.949652,STABLE,,continue
truth_drift_agent,38,0.0,0.982095,0.987163,1.0,0.992803,0.887737,0.93465,0.962727,STABLE,,continue
truth_drift_agent,39,0.0,0.990299,0.994533,1.0,0.982676,0.899774,0.941774,0.966388,STABLE,,continue
truth_drift_agent,40,0.0,0.977858,0.987178,1.0,0.993115,0.919138,0.950737,0.970728,STABLE,,continue
truth_drift_agent,41,0.0,0.977692,0.97704,0.997596,0.994945,0.92355,0.951473,0.970162,STABLE,,continue
truth_drift_agent,42,0.0,0.991599,0.975907,1.0,0.985653,0.931478,0.956491,0.972929,STABLE,,continue
truth_drift_agent,43,0.0,0.992598,0.971011,0.997642,0.985499,0.931847,0.955575,0.971852,STABLE,,continue
truth_drift_agent,44,0.0,1.0,0.973157,0.995542,0.96623,0.925958,0.949712,0.96713,STABLE,,continue
truth_drift_agent,45,0.0,0.997369,0.969198,1.0,0.968552,0.942159,0.957312,0.9718,STABLE,,continue
truth_drift_agent,46,0.0,0.998289,0.972897,0.999112,0.972288,0.961939,0.968116,0.978456,STABLE,,continue
truth_drift_agent,47,0.0,0.97529,0.955808,0.993808,0.975692,0.970545,0.963892,0.973613,STABLE,,continue
truth_drift_agent,48,0.0,0.982868,0.956739,1.0,0.988853,0.973705,0.968019,0.979691,STABLE,,continue
